source,doi,material,diameter_mm,plate_material,environment,loading_rate_mm_min,mean_crush_load_N,std_crush_load_N,weibull_Fu_N,weibull_F0_N,weibull_m,sample_count,initial_stiffness_N_per_mm,fracture_displacement_mm,fracture_mode,calibration_use,notes
"Zhao et al. Engineering Fracture Mechanics 100 (2013) 28-37",10.1016/j.engfracmech.2012.05.011,Li4SiO4,0.5,WC,air,0.015,7.55,1.55,2.23,5.88,3.97,92,,,fragment ejection / two or more fragments,probability_strength_reference,"0.5 mm only; plate material strongly affects apparent strength."
"Zhao et al. Engineering Fracture Mechanics 100 (2013) 28-37",10.1016/j.engfracmech.2012.05.011,Li4SiO4,0.5,AL,air,0.015,10.6,3.02,3.67,7.87,2.39,86,,,fragment ejection / two or more fragments,plate_sensitivity_reference,"Aluminum plates produce larger apparent crush load than WC/BK7."
"Zhao et al. Engineering Fracture Mechanics 100 (2013) 28-37",10.1016/j.engfracmech.2012.05.011,Li4SiO4,0.5,BK7,dry inert gas,0.015,5.88,1.14,3.03,3.18,2.5,200,,,fragment ejection / two or more fragments,probability_strength_reference,"Closest 0.5 mm BK7 dry-inert reference; energy Weibull WMat=8.2e-6 J, m=3.2."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.25,BK7,dry inert gas,,2.6,,,,,45,,,brittle fracture with slow crack / void-aided crack / clean fracture surface,size_effect_reference,"Approximate value digitized from Fig. 3a by literature subagent; use as trend not exact table."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.315,BK7,dry inert gas,,5.1,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.355,BK7,dry inert gas,,3.8,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value; anomalously low due to transparent pebbles."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.4,BK7,dry inert gas,,5.9,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.45,BK7,dry inert gas,,5.2,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.5,BK7,dry inert gas,,5.1,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value; consistent order with Zhao BK7 dry-inert."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.56,BK7,dry inert gas,,6.2,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.63,BK7,dry inert gas,,10.5,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.71,BK7,dry inert gas,,11.8,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value."
"Annabattula et al. Fusion Science and Technology 2014",10.13182/FST13-737,Li4SiO4 / OSi,0.8,BK7,dry inert gas,,15.2,,,,,45,,,brittle fracture,size_effect_reference,"Approximate Fig. 3a value; supports 1 mm extrapolated target near 18-22 N."
"Lo Frano and Puccini Fusion Engineering and Design 2021",10.1016/j.fusengdes.2021.112388,Li4SiO4,1.5,not reported,air room temperature,,14,,,,,,,0.04,"3-4 plate-like fragments; radial/lateral crack extension",near_size_anchor,"Approximate average ultimate crushing load and displacement scale from source summary; verify from full text/figures before final publication."
"Kuang et al. Fusion Engineering and Design 199 (2024) 114105",10.1016/j.fusengdes.2023.114105,Li4SiO4,1.0,numerical,numerical,,,,,,,,,,"Pattern I splitting / Pattern II progressive / Pattern III explosive",near_neighbor_dem_reference,"Use for DEM failure-pattern and size-effect direction; public abstract lacks exact 1 mm force table."
